Sample ID,Sample Type
TCGA-DA-A95Z-06A,Metastatic
TCGA-GN-A8LL-06A,Metastatic
TCGA-D3-A8GM-06A,Metastatic
TCGA-EE-A2GN-06A,Metastatic
TCGA-FR-A729-06A,Metastatic
TCGA-EE-A29G-06A,Metastatic
TCGA-EE-A2MF-06A,Metastatic
TCGA-WE-A8K6-06A,Metastatic
TCGA-EE-A2MT-06A,Metastatic
TCGA-FR-A8YC-06A,Metastatic
TCGA-EE-A2GK-06A,Metastatic
TCGA-ER-A19J-06A,Metastatic
TCGA-DA-A1IA-06A,Metastatic
TCGA-D9-A4Z6-06A,Metastatic
TCGA-BF-A5ES-01A,Primary Tumor
TCGA-FS-A1ZK-06A,Metastatic
TCGA-GN-A262-06A,Metastatic
TCGA-DA-A95W-06A,Metastatic
TCGA-EE-A2M7-06A,Metastatic
TCGA-EE-A2GO-06A,Metastatic
TCGA-FS-A1Z0-06A,Metastatic
TCGA-DA-A1HW-06A,Metastatic
TCGA-GF-A2C7-01A,Primary Tumor
TCGA-GN-A265-06A,Metastatic
TCGA-FS-A1Z3-06A,Metastatic
TCGA-FR-A7UA-06A,Metastatic
TCGA-BF-AAP1-01A,Primary Tumor
TCGA-EE-A2A5-06A,Metastatic
TCGA-EE-A3J8-06A,Metastatic
TCGA-EE-A29E-06A,Metastatic
TCGA-FS-A1ZW-06A,Metastatic
TCGA-EE-A3J7-06A,Metastatic
TCGA-EB-A6R0-01A,Primary Tumor
TCGA-EB-A41B-01A,Primary Tumor
TCGA-D3-A51R-06A,Metastatic
TCGA-D3-A3CF-06A,Metastatic
TCGA-EE-A3JE-06A,Metastatic
TCGA-EB-A3HV-01A,Primary Tumor
TCGA-EE-A17Y-06A,Metastatic
TCGA-FS-A1ZJ-06A,Metastatic
TCGA-D3-A2JO-06A,Metastatic
TCGA-D3-A8GN-06A,Metastatic
TCGA-D3-A2JK-06A,Metastatic
TCGA-ER-A2ND-06A,Metastatic
TCGA-EE-A17Z-06A,Metastatic
TCGA-FS-A4F2-06A,Metastatic
TCGA-EB-A5SF-01A,Primary Tumor
TCGA-YG-AA3O-06A,Metastatic
TCGA-BF-A1PZ-01A,Primary Tumor
TCGA-D3-A1Q3-06A,Metastatic
TCGA-D3-A8GK-06A,Metastatic
TCGA-DA-A1IC-06A,Metastatic
TCGA-BF-A3DL-01A,Primary Tumor
TCGA-EB-A553-01A,Primary Tumor
TCGA-D3-A2JL-06A,Metastatic
TCGA-EE-A3JI-06A,Metastatic
