File Name,Case ID,Sample ID,Sample Type
caef78ab-eb10-4fec-b0bf-a96d3f25e2a9.FPKM.txt,TCGA-DA-A95Z,TCGA-DA-A95Z-06A,Metastatic
0a3f430a-7e5e-4e68-92cc-f767da7e361c.FPKM.txt,TCGA-GN-A8LL,TCGA-GN-A8LL-06A,Metastatic
786537c7-34b1-4d87-bbe4-f28b2df869b2.FPKM.txt,TCGA-D3-A8GM,TCGA-D3-A8GM-06A,Metastatic
790e4e9a-3da2-43d0-9ebb-683306fd56c0.FPKM.txt,TCGA-EE-A2GN,TCGA-EE-A2GN-06A,Metastatic
bb000d9a-ae19-4a71-a178-03e9ad24c6c6.FPKM.txt,TCGA-FR-A729,TCGA-FR-A729-06A,Metastatic
960ada56-24bd-40ab-91ca-113237e390f9.FPKM.txt,TCGA-EE-A29G,TCGA-EE-A29G-06A,Metastatic
e53da5a7-c010-4e73-b2d1-cb02a84459fe.FPKM.txt,TCGA-EE-A2MF,TCGA-EE-A2MF-06A,Metastatic
11797830-6218-43c6-8c41-515583575668.FPKM.txt,TCGA-WE-A8K6,TCGA-WE-A8K6-06A,Metastatic
0bf9109b-bff4-437b-ae1f-6c1aa7edaaea.FPKM.txt,TCGA-EE-A2MT,TCGA-EE-A2MT-06A,Metastatic
5bf035c5-0694-4c79-80ce-bb51517c175b.FPKM.txt,TCGA-FR-A8YC,TCGA-FR-A8YC-06A,Metastatic
e30f32a7-6efb-4f4d-8644-a54dc205ceba.FPKM.txt,TCGA-EE-A2GK,TCGA-EE-A2GK-06A,Metastatic
36388291-2777-4950-a860-947eab1911e2.FPKM.txt,TCGA-ER-A19J,TCGA-ER-A19J-06A,Metastatic
9c77be54-d58e-4dec-8894-acb71a12cac5.FPKM.txt,TCGA-DA-A1IA,TCGA-DA-A1IA-06A,Metastatic
c8e47b23-2a98-4cf1-89aa-af5792157221.FPKM.txt,TCGA-D9-A4Z6,TCGA-D9-A4Z6-06A,Metastatic
95259f41-ad84-40fb-8902-6f9bff618809.FPKM.txt,TCGA-BF-A5ES,TCGA-BF-A5ES-01A,Primary Tumor
1b9e2610-0956-4eaa-8097-4ed47d090db2.FPKM.txt,TCGA-FS-A1ZK,TCGA-FS-A1ZK-06A,Metastatic
cc7bed37-462e-4251-90fa-14ad4c662f7e.FPKM.txt,TCGA-GN-A262,TCGA-GN-A262-06A,Metastatic
f5d259d3-a462-4d0f-919a-c0783801dc5c.FPKM.txt,TCGA-DA-A95W,TCGA-DA-A95W-06A,Metastatic
0170ee02-a63a-455c-b41d-bb72f3e515da.FPKM.txt,TCGA-EE-A2M7,TCGA-EE-A2M7-06A,Metastatic
9428bf95-8b1c-4725-899d-aa05befb3b88.FPKM.txt,TCGA-EE-A2GO,TCGA-EE-A2GO-06A,Metastatic
07847345-aec7-4526-a190-9751146772b4.FPKM.txt,TCGA-FS-A1Z0,TCGA-FS-A1Z0-06A,Metastatic
03e36684-a671-4de2-a933-480cf83b2041.FPKM.txt,TCGA-DA-A1HW,TCGA-DA-A1HW-06A,Metastatic
c7c47a42-41ba-4f1a-862f-70184c016a7a.FPKM.txt,TCGA-GF-A2C7,TCGA-GF-A2C7-01A,Primary Tumor
cd461c3f-2698-4687-989d-f38270939150.FPKM.txt,TCGA-GN-A265,TCGA-GN-A265-06A,Metastatic
23a15223-f74b-4714-b62c-67a54d242652.FPKM.txt,TCGA-FS-A1Z3,TCGA-FS-A1Z3-06A,Metastatic
85656563-7d54-42d2-91a2-f6def4b93a74.FPKM.txt,TCGA-FR-A7UA,TCGA-FR-A7UA-06A,Metastatic
5f238bcd-ac5c-4893-9a33-df8d2fbccefc.FPKM.txt,TCGA-BF-AAP1,TCGA-BF-AAP1-01A,Primary Tumor
e047cefd-a5c4-40cf-a883-ff01103d5c03.FPKM.txt,TCGA-EE-A2A5,TCGA-EE-A2A5-06A,Metastatic
2b485559-2b76-4729-83c8-82b788a9c5f7.FPKM.txt,TCGA-EE-A3J8,TCGA-EE-A3J8-06A,Metastatic
7c2ce96b-9ada-43b5-a522-91e307379f79.FPKM.txt,TCGA-EE-A29E,TCGA-EE-A29E-06A,Metastatic
51b1c6f9-192d-4502-9396-a04d2a497089.FPKM.txt,TCGA-FS-A1ZW,TCGA-FS-A1ZW-06A,Metastatic
e89140b0-af29-4aaa-b8c7-058d9397efce.FPKM.txt,TCGA-EE-A3J7,TCGA-EE-A3J7-06A,Metastatic
0ef4e36a-8e8a-4d7e-8c4c-e194804d326d.FPKM.txt,TCGA-EB-A6R0,TCGA-EB-A6R0-01A,Primary Tumor
1689dc18-4e87-45ae-a3f2-f9e76919a6da.FPKM.txt,TCGA-EB-A41B,TCGA-EB-A41B-01A,Primary Tumor
959f4793-573a-4547-9773-a4fe3f83b3d9.FPKM.txt,TCGA-D3-A51R,TCGA-D3-A51R-06A,Metastatic
3a42ef92-d2c1-47de-88cd-38732f3887b5.FPKM.txt,TCGA-D3-A3CF,TCGA-D3-A3CF-06A,Metastatic
0b0bcba2-9f11-4381-b168-e13f56e90705.FPKM.txt,TCGA-EE-A3JE,TCGA-EE-A3JE-06A,Metastatic
e99fba98-f95e-4fc9-aa7d-5f8164c06f2a.FPKM.txt,TCGA-EB-A3HV,TCGA-EB-A3HV-01A,Primary Tumor
67abf648-044e-4acb-a4ab-700cb82632db.FPKM.txt,TCGA-EE-A17Y,TCGA-EE-A17Y-06A,Metastatic
e7d26f6d-9d69-4056-b96c-b0baa452fa5b.FPKM.txt,TCGA-FS-A1ZJ,TCGA-FS-A1ZJ-06A,Metastatic
ab101bac-2243-445f-bad5-9aa605261f29.FPKM.txt,TCGA-D3-A2JO,TCGA-D3-A2JO-06A,Metastatic
37d075d7-76fe-406a-8ba8-6d10116bebcb.FPKM.txt,TCGA-D3-A8GN,TCGA-D3-A8GN-06A,Metastatic
b3eaff31-b803-47f9-acca-469053767155.FPKM.txt,TCGA-D3-A2JK,TCGA-D3-A2JK-06A,Metastatic
42221037-1a44-416c-8e3e-fc1805b269de.FPKM.txt,TCGA-ER-A2ND,TCGA-ER-A2ND-06A,Metastatic
ced61cfd-4e64-48da-a5c1-bf6d4f68f889.FPKM.txt,TCGA-EE-A17Z,TCGA-EE-A17Z-06A,Metastatic
041e2dc3-7073-4ff8-b764-c1a75850977c.FPKM.txt,TCGA-FS-A4F2,TCGA-FS-A4F2-06A,Metastatic
