PathwayName,Expression,Number of Genes
Metal sequestration by antimicrobial proteins,3.2702966852571906,6
Melanin biosynthesis,3.1167871608044635,5
CD22 mediated BCR regulation,2.817887315100852,61
Classical antibody-mediated complement activation,2.7085442915826774,63
FCGR activation,2.6969666763510127,69
Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin,2.6700941925179715,40
Role of LAT2/NTAL/LAB on calcium mobilization,2.481998117736121,71
Creation of C4 and C2 activators,2.4259970577690226,71
Scavenging of heme from plasma,2.3798899673033955,69
Type I hemidesmosome assembly,2.3299890297186563,11
FCGR3A-mediated IL10 synthesis,2.320573707535226,95
Role of phospholipids in phagocytosis,2.26451992998306,82
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,2.2638319348688634,86
Signaling by KIT in disease,2.20575376324965,20
Initial triggering of complement,2.180461572216052,79
Formation of the cornified envelope,2.1338220198383517,128
FCERI mediated Ca+2 mobilization,2.101309813900748,86
Apoptotic cleavage of cell adhesion  proteins,2.0633702535192664,11
Regulation of Complement cascade,1.9863797620519752,103
"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",1.949625599557277,20
Leishmania parasite growth and survival,1.9485270514230038,133
Anti-inflammatory response favouring Leishmania parasite infection,1.9485270514230038,133
Parasite infection,1.8887092175120652,116
Leishmania phagocytosis,1.8887092175120652,116
FCGR3A-mediated phagocytosis,1.8887092175120652,116
FCERI mediated MAPK activation,1.8693255324646365,87
Complement cascade,1.8477108813529677,114
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,1.7848408614055626,186
Translocation of ZAP-70 to Immunological synapse,1.7577610645295767,21
Fcgamma receptor (FCGR) dependent phagocytosis,1.73439242017617,143
Phosphorylation of CD3 and TCR zeta chains,1.6927010436857308,24
FGFR3 mutant receptor activation,1.6891467613806321,12
Binding and Uptake of Ligands by Scavenger Receptors,1.6732332592281887,98
Developmental Cell Lineages,1.6727162155544364,82
Co-inhibition by PD-1,1.6611005084306742,25
Alternative complement activation,1.660112726555946,5
Signaling by the B Cell Receptor (BCR),1.6543929152477914,153
Cell surface interactions at the vascular wall,1.626723368553266,194
Signaling by activated point mutants of FGFR3,1.5888791164923652,12
Activation of Matrix Metalloproteinases,1.579988378924245,33
Potential therapeutics for SARS,1.5744414032574847,154
RUNX3 Regulates Immune Response and Cell Migration,1.5658337224933288,6
"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition",1.5278916872612853,12
Signaling by FGFR3 in disease,1.5070397893828615,22
Regulation of actin dynamics for phagocytic cup formation,1.5032622845819168,118
MET activates PTK2 signaling,1.496557944795081,30
Leishmania infection,1.4825972802315863,218
Parasitic Infection Pathways,1.482597280231586,218
Keratinization,1.47848121119537,215
Activation of C3 and C5,1.4516032987640357,7
MET promotes cell motility,1.4469698055186395,41
Assembly of collagen fibrils and other multimeric structures,1.4419144048095065,61
Fc epsilon receptor (FCERI) signaling,1.437783781429383,173
Degradation of the extracellular matrix,1.43207388104641,140
Collagen degradation,1.4265017146678551,64
Collagen biosynthesis and modifying enzymes,1.4254526992031489,67
Collagen formation,1.413175447390051,90
Dermatan sulfate biosynthesis,1.412232050969274,11
Extracellular matrix organization,1.391638934174384,321
Collagen chain trimerization,1.3788999512233897,44
CS/DS degradation,1.36876030586381,14
Chondroitin sulfate biosynthesis,1.3685767781780835,20
FCERI mediated NF-kB activation,1.3672112290879288,123
Anchoring fibril formation,1.364090381406321,15
MET interacts with TNS proteins,1.3616653533617902,5
Generation of second messenger molecules,1.356581345378679,36
Metabolism of Angiotensinogen to Angiotensins,1.3544632198184106,17
Metallothioneins bind metals,1.3395270453473294,11
Platelet Adhesion to exposed collagen,1.3280940079762156,16
Chemokine receptors bind chemokines,1.3253725277332002,57
Chondroitin sulfate/dermatan sulfate metabolism,1.3185388327154393,51
Enhanced binding of GP1BA variant to VWF multimer:collagen ,1.316976498829753,7
Nectin/Necl  trans heterodimerization,1.3113909966894388,7
Acyl chain remodelling of PI,1.3029309014120585,17
Interleukin-10 signaling,1.294147341131811,45
Crosslinking of collagen fibrils,1.2925246105827173,18
Syndecan interactions,1.2883453143024115,27
Defective CHSY1 causes TPBS,1.2823395694839717,8
Regulation of KIT signaling,1.281777370903202,16
Hydrolysis of LPC,1.280672535621642,9
Formation of the posterior neural plate,1.2796010910570708,10
Defective binding of VWF variant to GPIb:IX:V,1.2792862903635305,7
Formation of the ureteric bud,1.277868997109411,21
MET Receptor Activation,1.2755436134871418,6
Formyl peptide receptors bind formyl peptides and many other ligands,1.2718228732840382,8
Signaling by RNF43 mutants,1.2666266113706235,8
Signaling by Overexpressed Wild-Type EGFR in Cancer,1.264208599945376,8
Inhibition of Signaling by Overexpressed EGFR,1.264208599945376,8
Non-integrin membrane-ECM interactions,1.2625788419164352,80
Signaling by MET,1.2576269141024012,79
Defective B3GAT3 causes JDSSDHD,1.257440116561516,20
CHL1 interactions,1.255834518101934,9
ECM proteoglycans,1.2554465529924588,76
FGFR2b ligand binding and activation,1.2489965614430307,10
A tetrasaccharide linker sequence is required for GAG synthesis,1.2484668764698343,27
Other semaphorin interactions,1.2470863537385135,19
Signaling by MST1,1.2430509374049412,5
Acyl chain remodelling of PS,1.2423098550512375,22
Epithelial-Mesenchymal Transition (EMT) during gastrulation,1.2403541507688314,7
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs),1.2372578569978092,10
Integrin cell surface interactions,1.2305460688790777,85
Molecules associated with elastic fibres,1.2296042885652052,37
Defective B4GALT1 causes B4GALT1-CDG (CDG-2d),1.2286098847996823,8
EGFR Transactivation by Gastrin,1.2278160900309787,9
Formation of lateral plate mesoderm,1.2258186084361848,5
Interleukin-1 processing,1.2216003290493274,9
Response to metal ions,1.221000429034901,14
Specification of the neural plate border,1.2192903848555696,17
Glycosaminoglycan metabolism,1.218974455838682,127
Elastic fibre formation,1.2166954477526102,44
Kidney development,1.214449856779127,46
Formation of the anterior neural plate,1.2135150700823336,11
Interleukin-36 pathway,1.2115339846919637,7
IRAK4 deficiency (TLR2/4),1.210070172556716,18
Cross-presentation of particulate exogenous antigens (phagosomes),1.210023652221283,8
Defective CHST6 causes MCDC1,1.2053274557982587,8
NCAM1 interactions,1.2044139538992849,42
Synthesis of 12-eicosatetraenoic acid derivatives,1.2008994297496742,7
TFAP2 (AP-2) family regulates transcription of cell cycle factors,1.2005635981608687,5
Regulation of TLR by endogenous ligand,1.1999681928624764,22
Adaptive Immune System,1.1977534503971878,811
Defects of platelet adhesion to exposed collagen,1.1837694619192036,8
Heparan sulfate/heparin (HS-GAG) metabolism,1.1833371215516644,58
Scavenging by Class A Receptors,1.1784476353436828,19
Laminin interactions,1.1777445726661482,30
"Defective B4GALT7 causes EDS, progeroid type",1.17742779028853,20
GP1b-IX-V activation signalling,1.1773612015312431,12
Interleukin-4 and Interleukin-13 signaling,1.1762812582082385,111
HS-GAG biosynthesis,1.1740612144527818,31
Terminal pathway of complement,1.1718019325989433,8
Acyl chain remodelling of PE,1.1712896300120612,29
RUNX1 regulates transcription of genes involved in differentiation of keratinocytes,1.1698154842442952,8
PTK6 promotes HIF1A stabilization,1.1696494982182761,6
